station_code,year,departement_code,total_passengers_over_the_year,simple_assistance,ramp_assistance,wheelchair_assistance,ramp_and_wheelchair_assistance,total_assistance,clusters,cluster
87732008,2021,03,1052342,1188,166,241,8,1603,0,light pink
87732206,2021,03,123219,162,17,21,0,200,0,light pink
87734004,2021,63,3218988,3207,542,603,25,4377,0,light pink
87734053,2021,63,817285,358,136,57,2,553,0,light pink
87734129,2021,63,55143,2,0,0,0,2,0,light pink
87734202,2021,63,414593,53,15,22,0,90,0,light pink
87734251,2021,43,35598,46,0,2,0,48,0,light pink
87734269,2021,43,79521,165,7,4,0,176,0,light pink
87734319,2021,43,21742,6,2,0,0,8,0,light pink
87734426,2021,63,123700,28,0,0,0,28,0,light pink
87734699,2021,43,235197,270,41,42,0,353,0,light pink
87734749,2021,43,39861,27,5,3,2,37,0,light pink
87734871,2021,15,32339,34,0,2,0,36,0,light pink
87741009,2021,73,3195946,1744,899,846,39,3528,0,light pink
87741074,2021,01,196035,493,53,182,0,728,0,light pink
87741132,2021,73,1322646,1301,623,470,22,2416,0,light pink
87741181,2021,73,430951,30,4,0,0,34,0,light pink
87741645,2021,73,248996,137,90,78,0,305,0,light pink
87741728,2021,73,215595,183,93,123,8,407,0,light pink
87741793,2021,73,204591,98,29,73,13,213,0,light pink
87742007,2021,73,193963,100,35,47,1,183,0,light pink
87742320,2021,73,240191,119,46,39,0,204,0,light pink
87743005,2021,01,1453090,1062,301,217,8,1588,0,light pink
87743534,2021,01,108542,12,37,2,0,51,0,light pink
87743633,2021,39,22075,4,6,1,0,11,0,light pink
87743716,2021,01,1043483,297,45,38,1,381,0,light pink
87745000,2021,01,1123969,1313,439,596,7,2355,0,light pink
87745497,2021,74,1023717,301,160,98,2,561,0,light pink
87745646,2021,74,464183,119,91,36,1,247,0,light pink
87745679,2021,74,167516,36,9,18,1,64,0,light pink
87746008,2021,74,2127405,887,861,516,30,2294,0,light pink
87746149,2021,74,494035,1,0,0,0,1,0,light pink
87746305,2021,74,373942,23,22,8,0,53,0,light pink
87746370,2021,74,436600,49,22,34,0,105,0,light pink
87746412,2021,74,23993,1,0,0,0,1,0,light pink
87746438,2021,74,298518,7,5,7,0,19,0,light pink
87746479,2021,74,312981,145,52,93,0,290,0,light pink
87746784,2021,74,113584,22,4,6,0,32,0,light pink
87747006,2021,38,6150709,2619,2501,987,17,6124,0,light pink
87747287,2021,38,1190675,1240,282,48,4,1574,0,light pink
87747402,2021,38,549072,15,3,0,0,18,0,light pink
87747493,2021,38,559956,20,3,0,0,23,0,light pink
87751008,2021,13,13225716,11730,5062,7819,127,24738,3,dark purple
87751206,2021,04,32898,1,0,2,0,3,0,light pink
87751321,2021,04,72003,70,16,6,1,93,0,light pink
87751404,2021,13,276414,34,35,5,1,75,0,light pink
87751750,2021,13,844535,190,394,65,7,656,0,light pink
87751784,2021,13,482815,1,0,0,0,1,0,light pink
87751842,2021,13,33772,0,0,1,0,1,0,light pink
87753004,2021,13,551184,187,63,29,0,279,0,light pink
87753657,2021,13,589761,259,103,44,0,406,0,light pink
87755009,2021,83,3667722,3214,1636,3057,43,7950,0,light pink
87755231,2021,83,314754,1,0,1,0,2,0,light pink
87755447,2021,83,785981,431,190,442,12,1075,0,light pink
87755629,2021,83,532708,447,332,492,13,1284,0,light pink
87756056,2021,06,6631770,2620,1080,1907,45,5652,0,light pink
87756486,2021,06,1334327,178,91,167,13,449,0,light pink
87756833,2021,06,27475,1,3,0,0,4,0,light pink
