station_code,year,departement_code,total_passengers_over_the_year,simple_assistance,ramp_assistance,wheelchair_assistance,ramp_and_wheelchair_assistance,total_assistance,clusters,cluster
87111849,2015,77,5443822,3677,2081,78,9357,15193,0,light pink
87113001,2015,75,34919689,3610,2946,161,11133,17850,3,dark purple
87116582,2015,02,1924022,29,5,0,149,183,0,light pink
87118000,2015,10,1001917,72,145,7,518,742,0,light pink
87118158,2015,10,306218,25,45,0,113,183,0,light pink
87141002,2015,54,7918088,3569,968,79,8651,13267,0,light pink
87141044,2015,54,232067,430,40,7,576,1053,0,light pink
87141150,2015,54,923786,87,28,3,255,373,0,light pink
87141291,2015,88,80707,13,23,0,189,225,0,light pink
87141820,2015,54,979424,280,5,2,367,654,0,light pink
87142000,2015,52,420282,103,104,6,552,765,0,light pink
87142109,2015,57,647339,699,654,48,2600,4001,0,light pink
87142125,2015,52,100673,38,114,4,471,627,0,light pink
87144006,2015,88,1143705,348,113,13,1371,1845,0,light pink
87144014,2015,88,405652,144,42,7,323,516,0,light pink
87144055,2015,88,288612,6,0,0,7,13,0,light pink
87144279,2015,88,66226,5,7,0,31,43,0,light pink
87144451,2015,88,266804,73,50,6,264,393,0,light pink
87147322,2015,55,202506,94,75,0,416,585,0,light pink
87171009,2015,51,3884021,750,408,29,3315,4502,0,light pink
87171330,2015,51,199571,2,0,0,3,5,0,light pink
87171553,2015,51,779960,36,31,13,1196,1276,0,light pink
87171926,2015,51,917725,618,649,42,2609,3918,0,light pink
87172007,2015,08,1156793,762,195,10,1439,2406,0,light pink
87172080,2015,08,230865,0,0,0,0,0,0,light pink
87172130,2015,08,102220,7,3,0,18,28,0,light pink
87172254,2015,08,327997,340,255,1,673,1269,0,light pink
87172270,2015,08,350544,900,39,0,966,1905,0,light pink
87174003,2015,51,840726,110,62,14,668,854,0,light pink
87174276,2015,51,242104,36,21,0,471,528,0,light pink
87175000,2015,52,230626,42,59,2,266,369,0,light pink
87175042,2015,55,414938,101,36,0,397,534,0,light pink
87175091,2015,52,68019,33,6,0,51,90,0,light pink
87175257,2015,55,168732,61,2,0,153,216,0,light pink
87175778,2015,55,137033,1,4,0,38,43,0,light pink
87182014,2015,68,3586247,832,315,13,2018,3178,0,light pink
87182063,2015,68,5017072,1712,632,26,4460,6830,0,light pink
87182139,2015,68,1116797,83,23,0,196,302,0,light pink
87182238,2015,68,284515,8,2,1,16,27,0,light pink
87184002,2015,90,1159439,578,146,14,1516,2254,0,light pink
87184523,2015,25,529251,218,25,2,446,691,0,light pink
87185009,2015,70,362663,88,36,23,256,403,0,light pink
87185249,2015,70,196701,89,8,0,207,304,0,light pink
87191007,2015,57,2743320,250,134,9,707,1100,0,light pink
87191106,2015,57,247054,0,0,0,2,2,0,light pink
87191114,2015,57,1154164,61,15,1,294,371,0,light pink
87192039,2015,57,7121214,1593,667,49,4390,6699,0,light pink
87192401,2015,57,137841,0,0,0,5,5,0,light pink
87192468,2015,54,345327,0,0,0,1,1,0,light pink
87192666,2015,54,135639,0,2,0,69,71,0,light pink
87193003,2015,57,365895,145,33,8,280,466,0,light pink
87193250,2015,57,127840,9,0,0,39,48,0,light pink
87193318,2015,57,267007,22,4,2,76,104,0,light pink
87193615,2015,57,425128,70,15,4,203,292,0,light pink
87194001,2015,54,506845,16,23,0,111,150,0,light pink
87194274,2015,54,73542,3,3,0,135,141,0,light pink
87212027,2015,67,18232891,4138,2369,71,11897,18475,3,dark purple
87212225,2015,67,1210024,149,39,2,326,516,0,light pink
87213058,2015,67,1594736,116,176,1,467,760,0,light pink
87214056,2015,67,2062470,311,46,8,627,992,0,light pink
87214577,2015,67,1552148,44,3,0,150,197,0,light pink
87215012,2015,57,721389,185,31,2,348,566,0,light pink
87223263,2015,59,7846574,4858,5714,141,17691,28404,0,light pink
87271007,2015,75,238356138,3844,3214,74,11371,18503,1,pink
87271494,2015,95,12976556,1799,2949,76,6898,11722,3,dark purple
87271551,2015,60,490294,0,0,0,0,0,0,light pink
87271593,2015,60,1570943,0,1,0,15,16,0,light pink
87271734,2015,02,416589,2,0,0,2,4,0,light pink
87271817,2015,02,645202,39,23,1,94,157,0,light pink
87276006,2015,60,4771298,133,17,3,373,526,0,light pink
87276691,2015,60,2316129,123,76,4,365,568,0,light pink
87276725,2015,60,650655,0,0,0,2,2,0,light pink
87281006,2015,59,1753890,917,208,11,2266,3402,0,light pink
87281071,2015,62,698676,128,82,2,451,663,0,light pink
87281444,2015,62,891754,181,34,4,349,568,0,light pink
87286005,2015,59,18780587,4335,1873,77,11751,18036,3,dark purple
87286146,2015,59,811472,68,5,1,112,186,0,light pink
87286302,2015,59,1686138,318,49,5,714,1086,0,light pink
87286542,2015,59,169429,49,15,36,125,225,0,light pink
87295006,2015,59,475237,194,117,4,462,777,0,light pink
87295063,2015,02,130709,20,34,0,101,155,0,light pink
87295600,2015,59,604945,120,66,4,595,785,0,light pink
87296004,2015,02,1159281,280,155,11,1010,1456,0,light pink
87296012,2015,02,809221,110,64,4,405,583,0,light pink
87296442,2015,02,423860,136,18,3,366,523,0,light pink
87300822,2015,90,723873,346,423,7,1510,2286,0,light pink
87300863,2015,25,689453,487,294,10,1480,2271,0,light pink
87313056,2015,80,364008,0,0,0,4,4,0,light pink
87313072,2015,80,453216,1,0,0,5,6,0,light pink
87313098,2015,80,130027,1,0,0,1,2,0,light pink
87313122,2015,80,147432,0,0,0,0,0,0,light pink
87313320,2015,80,146451,1,0,1,2,4,0,light pink
87313346,2015,80,167397,4,6,0,15,25,0,light pink
87313387,2015,60,46836,1,0,0,2,3,0,light pink
87313437,2015,80,143251,0,0,0,1,1,0,light pink
87313460,2015,80,124958,1,0,0,3,4,0,light pink
87313510,2015,60,1346772,126,19,4,307,456,0,light pink
87313668,2015,60,803770,0,1,0,6,7,0,light pink
87313759,2015,60,39720,11,2,0,16,29,0,light pink
87313874,2015,80,5324980,761,269,11,2049,3090,0,light pink
87313882,2015,80,369361,502,477,24,1684,2687,0,light pink
87317057,2015,62,256857,234,105,4,524,867,0,light pink
87317065,2015,62,389755,8,33,0,160,201,0,light pink
87317263,2015,62,1074918,246,133,2,593,974,0,light pink
87317362,2015,80,758410,47,52,0,254,353,0,light pink
87317396,2015,80,69462,1,0,0,2,3,0,light pink
87317404,2015,80,112566,0,17,0,20,37,0,light pink
87317586,2015,62,921416,266,148,6,912,1332,0,light pink
87318964,2015,84,3865578,2232,3167,78,9392,14869,0,light pink
87319012,2015,13,3388402,1578,1985,63,6323,9949,0,light pink
87324095,2015,86,163611,93,21,2,217,333,0,light pink
87342006,2015,62,1827943,191,151,2,479,823,0,light pink
87342014,2015,62,4145669,1211,670,20,2942,4843,0,light pink
87342337,2015,62,229216,17,19,0,93,129,0,light pink
87343004,2015,59,3172059,620,277,6,1799,2702,0,light pink
87345009,2015,59,2908863,719,286,17,1460,2482,0,light pink
87345025,2015,62,1599323,300,64,8,511,883,0,light pink
87345520,2015,59,668208,210,28,7,340,585,0,light pink
87381509,2015,78,9474592,226,117,7,545,895,0,light pink
87384008,2015,75,107165727,2577,2068,311,8669,13625,2,purple
87387001,2015,27,1139477,313,73,8,825,1219,0,light pink
87391003,2015,75,55167664,10685,14093,718,42132,67628,3,dark purple
87393009,2015,78,24191310,114,146,8,541,809,3,dark purple
87393488,2015,28,1788844,52,34,0,267,353,0,light pink
87393702,2015,91,1695281,898,989,20,3340,5247,0,light pink
87394007,2015,28,2800668,374,117,7,904,1402,0,light pink
87394114,2015,28,1513995,9,3,0,19,31,0,light pink
87394130,2015,28,1216557,1,2,1,8,12,0,light pink
87394148,2015,28,180912,0,0,0,1,1,0,light pink
87394155,2015,28,118183,0,0,0,1,1,0,light pink
87394171,2015,28,105602,0,0,0,0,0,0,light pink
87394221,2015,28,307355,0,0,0,14,14,0,light pink
87394254,2015,28,365054,3,5,0,24,32,0,light pink
87394288,2015,61,18717,0,0,0,1,1,0,light pink
87394296,2015,28,446280,46,30,2,163,241,0,light pink
87394411,2015,28,77159,0,0,0,1,1,0,light pink
87394437,2015,28,146785,1,0,0,1,2,0,light pink
87394452,2015,28,74059,3,0,0,5,8,0,light pink
87396002,2015,72,5282858,2515,1780,68,10391,14754,0,light pink
87396234,2015,72,125028,286,23,0,471,780,0,light pink
87396408,2015,72,542337,107,50,2,416,575,0,light pink
87396606,2015,72,161909,12,18,0,182,212,0,light pink
87411017,2015,76,6129661,2032,837,168,5297,8334,0,light pink
87413013,2015,76,1749706,719,325,45,1558,2647,0,light pink
87413344,2015,76,497138,41,15,84,201,341,0,light pink
87413385,2015,76,934997,158,18,1,306,483,0,light pink
87415018,2015,76,513611,435,92,6,855,1388,0,light pink
87444000,2015,14,3256254,1766,808,85,5533,8192,0,light pink
87444067,2015,14,555799,159,53,6,433,651,0,light pink
87444265,2015,14,1134152,333,219,41,1079,1672,0,light pink
87444372,2015,14,762553,299,596,73,1351,2319,0,light pink
87444539,2015,61,310239,94,98,20,608,820,0,light pink
87444711,2015,61,434601,155,118,2,853,1128,0,light pink
87444877,2015,50,592294,465,99,32,870,1466,0,light pink
87446179,2015,31,304711,63,0,1,65,129,0,light pink
87447003,2015,50,219298,184,14,0,362,560,0,light pink
87447219,2015,14,227865,86,52,22,536,696,0,light pink
87447680,2015,50,197782,72,123,10,408,613,0,light pink
87471003,2015,35,9437542,5304,3347,158,17433,26242,0,light pink
87471300,2015,35,811897,827,163,19,2530,3539,0,light pink
87471508,2015,35,709991,99,32,2,413,546,0,light pink
87473009,2015,22,1217908,601,631,29,2337,3598,0,light pink
87473108,2015,22,415735,157,159,7,958,1281,0,light pink
87473181,2015,22,134336,52,192,10,461,715,0,light pink
87473207,2015,22,591776,258,352,17,1421,2048,0,light pink
87473223,2015,22,170323,61,120,4,313,498,0,light pink
87474007,2015,29,1653322,915,466,23,2399,3803,0,light pink
87474098,2015,29,918186,943,755,65,3798,5561,0,light pink
87474155,2015,29,150292,62,67,6,227,362,0,light pink
87474239,2015,29,595751,394,170,5,1092,1661,0,light pink
87474338,2015,29,543195,473,353,23,1724,2573,0,light pink
87476002,2015,56,1184731,1006,380,25,2621,4032,0,light pink
87476200,2015,56,790588,339,579,21,2259,3198,0,light pink
87476606,2015,56,1322859,651,566,12,2274,3503,0,light pink
87478073,2015,35,394141,336,69,7,749,1161,0,light pink
87478107,2015,35,1107633,640,672,22,2235,3569,0,light pink
87478164,2015,22,84903,196,4,0,299,499,0,light pink
87478404,2015,53,1248381,636,395,20,2277,3328,0,light pink
87481002,2015,44,10747895,6175,4599,206,23383,34363,0,light pink
87481192,2015,44,861331,190,81,17,622,910,0,light pink
87481226,2015,44,229007,185,137,1,617,940,0,light pink
87481283,2015,44,40188,38,34,0,114,186,0,light pink
87481390,2015,85,109007,61,36,2,161,260,0,light pink
87481705,2015,44,903619,518,372,11,1765,2666,0,light pink
87481754,2015,44,401904,392,631,21,1609,2653,0,light pink
87481788,2015,44,97105,404,178,5,802,1389,0,light pink
87481838,2015,44,449634,143,31,1,381,556,0,light pink
87484006,2015,49,5411683,2231,1788,87,10215,14321,0,light pink
87484303,2015,49,552627,149,144,5,1041,1339,0,light pink
87485003,2015,17,1886734,1401,923,82,4344,6750,0,light pink
87485144,2015,17,413934,152,77,6,668,903,0,light pink
87485300,2015,79,1234566,476,479,28,2236,3219,0,light pink
87486019,2015,85,905764,408,228,18,1626,2280,0,light pink
87486258,2015,85,66527,37,21,0,214,272,0,light pink
87486449,2015,85,392972,211,284,15,978,1488,0,light pink
87486571,2015,85,61724,83,45,0,236,364,0,light pink
87487009,2015,79,52019,11,9,0,88,108,0,light pink
87487249,2015,79,28442,4,7,0,21,32,0,light pink
87487603,2015,49,705898,195,165,4,1188,1552,0,light pink
87491001,2015,17,519863,397,302,34,2058,2791,0,light pink
87491449,2015,16,154573,14,27,1,274,316,0,light pink
87491803,2015,17,238199,101,190,21,992,1304,0,light pink
87543009,2015,45,3557414,726,446,88,3282,4542,0,light pink
87543017,2015,45,1694525,383,201,41,1768,2393,0,light pink
87543074,2015,28,107221,0,0,0,5,5,0,light pink
87543116,2015,45,77618,0,0,0,5,5,0,light pink
87543124,2015,45,137115,0,2,0,6,8,0,light pink
87543140,2015,41,202074,15,13,7,52,87,0,light pink
87543165,2015,41,195333,1,8,0,55,64,0,light pink
87545657,2015,28,32939,2,0,0,21,23,0,light pink
87545707,2015,28,27688,2,0,0,2,4,0,light pink
87545731,2015,28,43229,0,1,0,1,2,0,light pink
87545756,2015,28,109346,7,11,0,53,71,0,light pink
87547000,2015,75,23300254,1752,2643,295,9996,14686,3,dark purple
87571000,2015,37,4755405,2590,726,54,7707,11077,0,light pink
87571216,2015,41,426558,188,117,5,478,788,0,light pink
87571240,2015,37,3557596,2893,1870,160,12219,17142,0,light pink
87571471,2015,37,224545,2,2,0,41,45,0,light pink
87571687,2015,37,125376,1076,24,5,1218,2323,0,light pink
87571794,2015,37,120459,5,6,1,28,40,0,light pink
87571828,2015,37,191515,7,4,0,51,62,0,light pink
87571885,2015,37,64733,0,0,0,2,2,0,light pink
87574004,2015,41,1535135,243,185,23,1109,1560,0,light pink
87574137,2015,45,281010,11,4,0,42,57,0,light pink
87574160,2015,45,351917,8,4,0,61,73,0,light pink
87574194,2015,41,225926,5,2,2,39,48,0,light pink
87574319,2015,41,225555,1,2,0,16,19,0,light pink
87574343,2015,37,518284,48,30,3,546,627,0,light pink
87574475,2015,37,128280,0,0,0,4,4,0,light pink
87574558,2015,41,68399,0,4,0,41,45,0,light pink
87574665,2015,37,66646,1,0,0,20,21,0,light pink
87574855,2015,41,74869,1,2,0,50,53,0,light pink
87574897,2015,41,83040,64,4,1,88,157,0,light pink
87575001,2015,86,3058508,1649,1354,119,7091,10213,0,light pink
87575050,2015,37,97641,1,0,0,2,3,0,light pink
87575076,2015,37,36072,6,0,0,18,24,0,light pink
87575142,2015,86,525794,175,207,7,807,1196,0,light pink
87576009,2015,18,885793,403,282,40,2264,2989,0,light pink
87576116,2015,18,62482,0,0,0,1,1,0,light pink
87576207,2015,18,957058,373,251,44,1786,2454,0,light pink
87576272,2015,18,17712,3,0,0,4,7,0,light pink
87576298,2015,18,13422,31,2,1,64,98,0,light pink
87576322,2015,18,59638,3,2,0,53,58,0,light pink
87576439,2015,18,26562,1,0,0,4,5,0,light pink
87576868,2015,41,27074,3,1,0,13,17,0,light pink
87576876,2015,41,53581,7,3,1,31,42,0,light pink
87576884,2015,41,25589,6,0,0,30,36,0,light pink
87581009,2015,33,12062338,6323,6301,290,29749,42663,3,dark purple
87582478,2015,33,789981,48,56,1,276,381,0,light pink
87582668,2015,33,805161,287,276,6,1021,1590,0,light pink
87582775,2015,33,641240,14,11,0,65,90,0,light pink
87583005,2015,16,1717696,757,1187,68,4951,6963,0,light pink
87584052,2015,33,1286991,224,317,25,1545,2111,0,light pink
87584268,2015,24,289479,95,66,9,687,857,0,light pink
87586008,2015,47,1183150,683,646,68,2948,4345,0,light pink
87586545,2015,47,433512,239,73,7,676,995,0,light pink
87586651,2015,47,173850,238,22,1,374,635,0,light pink
87592006,2015,87,1711530,1120,759,83,5371,7333,0,light pink
87592121,2015,87,39292,2,4,0,32,38,0,light pink
87592345,2015,87,48585,0,7,0,13,20,0,light pink
87592378,2015,23,194093,65,90,7,377,539,0,light pink
87592485,2015,87,32527,35,7,1,59,102,0,light pink
87592667,2015,87,8442,1,0,0,13,14,0,light pink
87592709,2015,87,22508,7,2,0,80,89,0,light pink
87592725,2015,87,48459,1,8,0,23,32,0,light pink
87592824,2015,87,27730,3,5,0,145,153,0,light pink
87594002,2015,19,890457,424,604,72,2767,3867,0,light pink
87594093,2015,19,70375,9,15,0,201,225,0,light pink
87594200,2015,19,82141,21,42,3,173,239,0,light pink
87594275,2015,19,21825,0,6,0,28,34,0,light pink
87594333,2015,46,113808,44,80,3,371,498,0,light pink
87594499,2015,19,180262,6,6,0,72,84,0,light pink
87594663,2015,19,10996,0,0,0,11,11,0,light pink
87595009,2015,24,902669,285,256,31,1619,2191,0,light pink
87595827,2015,24,54155,69,17,0,228,314,0,light pink
87597005,2015,36,784887,151,210,34,1108,1503,0,light pink
87597062,2015,36,169757,29,17,2,136,184,0,light pink
87597120,2015,36,136447,9,17,0,140,166,0,light pink
87597609,2015,23,83399,12,10,1,271,294,0,light pink
87611004,2015,31,10010314,4477,3903,244,23936,32560,0,light pink
87611038,2015,31,953207,105,28,2,306,441,0,light pink
87611137,2015,31,275238,187,21,11,538,757,0,light pink
87611152,2015,31,176929,56,102,1,453,612,0,light pink
87611244,2015,82,1121171,329,259,29,1671,2288,0,light pink
87611343,2015,09,354474,132,30,2,262,426,0,light pink
87611467,2015,31,311046,104,34,2,155,295,0,light pink
87611483,2015,66,51611,8,26,0,106,140,0,light pink
87611616,2015,09,246977,31,104,3,289,427,0,light pink
87611665,2015,31,207877,0,0,0,1,1,0,light pink
87611749,2015,32,232730,113,9,0,222,344,0,light pink
87611806,2015,32,262164,8,1,1,48,58,0,light pink
87611863,2015,82,70260,0,1,0,11,12,0,light pink
87611889,2015,82,81273,0,3,0,23,26,0,light pink
87611897,2015,82,86276,0,2,0,4,6,0,light pink
87613000,2015,46,358654,110,107,4,619,840,0,light pink
87613059,2015,46,16898,0,1,0,5,6,0,light pink
87613091,2015,46,163436,45,41,0,270,356,0,light pink
87613109,2015,12,76135,2,0,0,13,15,0,light pink
87613141,2015,46,100610,7,27,5,143,182,0,light pink
87613356,2015,82,104795,1,3,1,17,22,0,light pink
87613422,2015,12,194256,62,81,2,489,634,0,light pink
87613661,2015,12,18483,1,2,0,5,8,0,light pink
87613893,2015,12,69147,9,3,0,39,51,0,light pink
87615005,2015,81,412872,165,65,4,723,957,0,light pink
87615039,2015,11,294644,61,27,4,222,314,0,light pink
87615252,2015,81,231166,0,1,0,42,43,0,light pink
87615286,2015,11,768690,196,224,30,1175,1625,0,light pink
87615344,2015,81,423116,14,9,0,94,117,0,light pink
87615468,2015,81,196675,97,54,2,384,537,0,light pink
87615476,2015,81,154669,145,12,2,233,392,0,light pink
87615542,2015,81,60454,0,0,0,20,20,0,light pink
87615625,2015,81,100213,24,2,0,107,133,0,light pink
87615732,2015,12,16082,0,0,0,0,0,0,light pink
87641001,2015,03,380565,75,134,8,848,1065,0,light pink
87641357,2015,03,35921,2,2,0,6,10,0,light pink
87641415,2015,03,170189,8,4,0,19,31,0,light pink
87641464,2015,63,10913,3,3,0,18,24,0,light pink
87641472,2015,63,11683,0,13,2,77,92,0,light pink
87645002,2015,15,160641,21,39,2,427,489,0,light pink
87645135,2015,15,5164,0,1,0,4,5,0,light pink
87645168,2015,15,12099,0,0,0,22,22,0,light pink
87645440,2015,15,12489,0,2,0,20,22,0,light pink
87645473,2015,15,25580,2,1,0,5,8,0,light pink
87645481,2015,15,21430,0,3,0,34,37,0,light pink
87645507,2015,15,24880,8,8,0,170,186,0,light pink
87671008,2015,65,516136,504,232,9,1732,2477,0,light pink
87671016,2015,40,280991,116,80,7,379,582,0,light pink
87671123,2015,65,105410,16,20,4,170,210,0,light pink
87671339,2015,65,418492,561,465,86,2359,3471,0,light pink
87672006,2015,64,806310,494,358,31,2579,3462,0,light pink
87672253,2015,64,171296,393,73,6,756,1228,0,light pink
87672279,2015,64,44584,19,7,0,94,120,0,light pink
87672725,2015,64,93882,19,6,0,87,112,0,light pink
87673004,2015,64,839085,328,458,17,2325,3128,0,light pink
87673202,2015,40,897314,717,1202,69,3993,5981,0,light pink
87673400,2015,64,422384,226,317,26,1087,1656,0,light pink
87677005,2015,64,399124,304,148,14,759,1225,0,light pink
87677120,2015,64,313339,265,237,11,857,1370,0,light pink
87683003,2015,89,1204338,195,43,2,445,685,0,light pink
87683102,2015,89,147245,3,4,0,13,20,0,light pink
87683136,2015,14,118693,0,1,0,4,5,0,light pink
87683219,2015,89,51020,18,1,0,32,51,0,light pink
87683243,2015,89,340390,1,0,0,33,34,0,light pink
87683268,2015,89,408478,328,52,8,715,1103,0,light pink
87683318,2015,89,68353,1,11,0,206,218,0,light pink
87683573,2015,89,418853,260,26,2,458,746,0,light pink
87683789,2015,89,39727,2,11,1,17,31,0,light pink
87684274,2015,45,44440,0,1,0,1,2,0,light pink
87684290,2015,45,127974,2,12,11,108,133,0,light pink
87686006,2015,75,111506043,13688,24428,814,57751,96681,2,purple
87686667,2015,75,3823448,686,712,95,3809,5302,0,light pink
87694000,2015,71,112815,11,13,0,32,56,0,light pink
87694109,2015,71,750269,323,412,11,1254,2000,0,light pink
87694141,2015,71,81646,0,2,0,72,74,0,light pink
87694307,2015,71,100200,41,20,2,214,277,0,light pink
87694570,2015,71,74269,0,0,0,28,28,0,light pink
87694620,2015,71,56742,2,3,0,21,26,0,light pink
87694687,2015,71,137357,14,52,3,232,301,0,light pink
87694778,2015,71,31888,2,5,0,32,39,0,light pink
87696005,2015,58,875783,601,285,14,2558,3458,0,light pink
87696088,2015,45,50561,0,2,1,6,9,0,light pink
87696146,2015,58,194441,20,42,5,140,207,0,light pink
87696195,2015,58,158355,2,1,0,8,11,0,light pink
87696328,2015,03,755149,194,124,23,1763,2104,0,light pink
87696427,2015,03,17781,2,0,0,7,9,0,light pink
87696484,2015,58,101184,326,8,0,477,811,0,light pink
87696492,2015,58,34819,1,6,0,29,36,0,light pink
87696807,2015,58,25616,2,1,1,5,9,0,light pink
87713040,2015,21,6159680,1760,1348,77,8054,11239,0,light pink
87713115,2015,21,166751,5,9,0,37,51,0,light pink
87713131,2015,21,423669,54,107,9,391,561,0,light pink
87713198,2015,89,137717,7,3,0,219,229,0,light pink
87713313,2015,21,233853,12,4,0,23,39,0,light pink
87713347,2015,21,269718,1,1,0,12,14,0,light pink
87713412,2015,39,803036,977,201,24,1930,3132,0,light pink
87713529,2015,21,253622,23,7,0,103,133,0,light pink
87713545,2015,21,940402,66,52,3,811,932,0,light pink
87713578,2015,71,371474,36,71,0,390,497,0,light pink
87713651,2015,21,47875,5,0,0,6,11,0,light pink
87713677,2015,21,63082,33,9,0,46,88,0,light pink
87713735,2015,71,28046,1,3,0,17,21,0,light pink
87713859,2015,21,173034,3,0,0,77,80,0,light pink
87715003,2015,25,176497,4,22,2,68,96,0,light pink
87715136,2015,25,166428,124,134,7,465,730,0,light pink
87718007,2015,25,2123064,1368,305,26,2990,4689,0,light pink
87718239,2015,39,354204,275,235,8,801,1319,0,light pink
87718544,2015,25,158883,57,3,1,73,134,0,light pink
87718619,2015,25,157668,6,0,0,39,45,0,light pink
87718833,2015,39,139097,88,22,4,260,374,0,light pink
87721332,2015,69,2082592,429,37,0,699,1165,0,light pink
87721431,2015,69,735649,0,0,0,1,1,0,light pink
87722025,2015,69,5655585,978,703,21,4060,5762,0,light pink
87722405,2015,69,817714,4,8,0,43,55,0,light pink
87722587,2015,38,1490676,112,20,3,376,511,0,light pink
87723197,2015,69,32411748,12690,10129,365,49958,73142,3,dark purple
87725002,2015,71,1412751,291,273,15,1644,2223,0,light pink
87725622,2015,71,276964,8,13,2,85,108,0,light pink
87725689,2015,71,1239005,627,215,12,1781,2635,0,light pink
87725705,2015,71,426960,228,279,3,656,1166,0,light pink
87726000,2015,42,3194896,891,518,31,3638,5078,0,light pink
87726307,2015,42,673848,10,0,0,34,44,0,light pink
87726331,2015,42,658702,8,1,0,30,39,0,light pink
87726760,2015,43,70722,1,2,0,11,14,0,light pink
87726778,2015,43,98801,4,0,1,22,27,0,light pink
87726802,2015,42,966343,468,179,10,1513,2170,0,light pink
87732008,2015,03,1265848,240,302,9,2394,2945,0,light pink
87732206,2015,03,126217,15,23,1,223,262,0,light pink
87732404,2015,03,92353,1,2,0,24,27,0,light pink
87734004,2015,63,3717742,628,574,88,5857,7147,0,light pink
87734038,2015,63,4031,0,1,0,1,2,0,light pink
87734053,2015,63,878075,149,71,2,1012,1234,0,light pink
87734160,2015,63,144876,1,1,0,61,63,0,light pink
87734186,2015,63,216708,0,0,0,2,2,0,light pink
87734202,2015,63,455912,74,71,0,340,485,0,light pink
87734244,2015,63,114501,1,0,0,3,4,0,light pink
87734251,2015,43,43701,8,4,0,74,86,0,light pink
87734269,2015,43,87560,6,4,7,215,232,0,light pink
87734319,2015,43,23675,4,2,0,40,46,0,light pink
87734426,2015,63,132294,0,0,0,3,3,0,light pink
87734442,2015,63,85063,0,0,0,1,1,0,light pink
87734475,2015,63,57483,1,3,0,27,31,0,light pink
87734699,2015,43,251698,133,80,1,657,871,0,light pink
87734749,2015,43,40724,8,3,1,39,51,0,light pink
87734871,2015,15,36218,6,2,0,123,131,0,light pink
87741009,2015,73,3782600,1397,772,38,4193,6400,0,light pink
87741074,2015,01,222735,88,36,1,631,756,0,light pink
87741132,2015,73,1299301,494,496,22,1887,2899,0,light pink
87741645,2015,73,358299,142,78,2,543,765,0,light pink
87741728,2015,73,399949,58,142,7,495,702,0,light pink
87741793,2015,73,335530,48,45,4,157,254,0,light pink
87742007,2015,73,195519,17,33,2,94,146,0,light pink
87742320,2015,73,317461,137,44,1,340,522,0,light pink
87743005,2015,01,1784643,312,283,7,1987,2589,0,light pink
87743633,2015,39,33303,6,3,0,59,68,0,light pink
87743716,2015,01,1195489,58,54,2,416,530,0,light pink
87745000,2015,01,1419005,634,896,26,3570,5126,0,light pink
87745497,2015,74,781951,155,123,10,687,975,0,light pink
87745646,2015,74,487033,91,95,5,364,555,0,light pink
87745679,2015,74,187774,22,23,2,118,165,0,light pink
87746008,2015,74,2235873,912,728,11,2898,4549,0,light pink
87746305,2015,74,374750,45,6,0,130,181,0,light pink
87746370,2015,74,415968,83,55,2,230,370,0,light pink
87746438,2015,74,307792,22,24,3,116,165,0,light pink
87746479,2015,74,389595,65,173,1,462,701,0,light pink
87747006,2015,38,7549493,4349,1155,138,8705,14347,0,light pink
87747287,2015,38,1236354,125,45,3,376,549,0,light pink
87751008,2015,13,13686954,4853,6567,243,21163,32826,3,dark purple
87751206,2015,04,59324,28,5,0,42,75,0,light pink
87751321,2015,04,131216,7,42,2,165,216,0,light pink
87751750,2015,13,747027,362,104,8,614,1088,0,light pink
87753004,2015,13,636861,78,43,3,291,415,0,light pink
87753657,2015,13,688498,207,133,2,710,1052,0,light pink
87755009,2015,83,3813793,1742,3160,94,9027,14023,0,light pink
87755447,2015,83,795535,311,442,22,1264,2039,0,light pink
87755629,2015,83,231025,125,257,11,608,1001,0,light pink
87756056,2015,06,8394842,1462,1754,100,6710,10026,0,light pink
87756486,2015,06,1573073,93,273,14,877,1257,0,light pink
87757526,2015,83,1220277,611,1498,50,3318,5477,0,light pink
87757625,2015,06,3566157,856,2775,71,7095,10797,0,light pink
87757674,2015,06,2016198,522,1069,52,3022,4665,0,light pink
87761007,2015,26,2120883,1103,590,17,3769,5479,0,light pink
87762906,2015,69,1241650,329,198,9,769,1305,0,light pink
87763003,2015,05,357486,196,104,3,654,957,0,light pink
87763029,2015,26,2614822,2144,1970,79,9189,13382,0,light pink
87763300,2015,05,92178,32,46,1,193,272,0,light pink
87763466,2015,05,141516,73,17,2,139,231,0,light pink
87763508,2015,05,85980,5,6,0,23,34,0,light pink
87763557,2015,05,53159,3,3,0,12,18,0,light pink
87763607,2015,05,183995,49,72,5,323,449,0,light pink
87764001,2015,26,951008,340,379,31,1469,2219,0,light pink
87765008,2015,84,2309025,565,265,29,2086,2945,0,light pink
87765107,2015,84,416136,76,125,2,554,757,0,light pink
87773002,2015,34,8013271,4921,4114,145,18789,27969,0,light pink
87773200,2015,34,1049464,396,513,27,2049,2985,0,light pink
87775007,2015,30,3794045,2122,1948,103,9332,13505,0,light pink
87775288,2015,30,418810,185,158,10,840,1193,0,light pink
87775866,2015,30,59445,64,25,3,159,251,0,light pink
87781005,2015,34,1257794,931,919,63,3594,5507,0,light pink
87781104,2015,11,1439839,665,996,65,3716,5442,0,light pink
